Speaker,Season,WordCount
Monica,1,8004
Monica,2,8207
Monica,3,8669
Monica,4,8217
Monica,5,9806
Monica,6,9694
Monica,7,10610
Monica,8,9626
Monica,9,9685
Monica,10,6509
Joey,1,6551
Joey,2,7634
Joey,3,8949
Joey,4,9529
Joey,5,11438
Joey,6,12547
Joey,7,11310
Joey,8,11821
Joey,9,10482
Joey,10,7261
Chandler,1,9159
Chandler,2,9040
Chandler,3,9074
Chandler,4,10457
Chandler,5,9681
Chandler,6,12470
Chandler,7,10014
Chandler,8,7004
Chandler,9,11192
Chandler,10,6063
Phoebe,1,6818
Phoebe,2,9065
Phoebe,3,9560
Phoebe,4,9118
Phoebe,5,10071
Phoebe,6,9384
Phoebe,7,9437
Phoebe,8,8451
Phoebe,9,10091
Phoebe,10,6991
Ross,1,10828
Ross,2,9515
Ross,3,11438
Ross,4,9709
Ross,5,10747
Ross,6,11336
Ross,7,10162
Ross,8,11441
Ross,9,11203
Ross,10,8180
Rachel,1,9421
Rachel,2,9018
Rachel,3,9369
Rachel,4,10442
Rachel,5,11609
Rachel,6,11912
Rachel,7,13295
Rachel,8,12747
Rachel,9,10223
Rachel,10,7560
Paul,1,137
Paul,2,0
Paul,3,0
Paul,4,0
Paul,5,0
Paul,6,1290
Paul,7,0
Paul,8,0
Paul,9,0
Paul,10,0
Carol,1,598
Carol,2,325
Carol,3,324
Carol,4,64
Carol,5,87
Carol,6,107
Carol,7,84
Carol,8,0
Carol,9,0
Carol,10,0
Mrs. Geller,1,370
Mrs. Geller,2,328
Mrs. Geller,3,13
Mrs. Geller,4,353
Mrs. Geller,5,136
Mrs. Geller,6,176
Mrs. Geller,7,236
Mrs. Geller,8,186
Mrs. Geller,9,0
Mrs. Geller,10,0
Mr. Geller,1,433
Mr. Geller,2,484
Mr. Geller,3,156
Mr. Geller,4,202
Mr. Geller,5,96
Mr. Geller,6,96
Mr. Geller,7,801
Mr. Geller,8,66
Mr. Geller,9,287
Mr. Geller,10,0
Susan,1,519
Susan,2,123
Susan,3,35
Susan,4,70
Susan,5,0
Susan,6,36
Susan,7,0
Susan,8,0
Susan,9,0
Susan,10,0
Jill,1,127
Jill,2,0
Jill,3,0
Jill,4,0
Jill,5,0
Jill,6,799
Jill,7,0
Jill,8,5
Jill,9,0
Jill,10,0
David,1,401
David,2,0
David,3,0
David,4,0
David,5,0
David,6,0
David,7,266
David,8,0
David,9,1107
David,10,0
Janice,1,361
Janice,2,51
Janice,3,587
Janice,4,296
Janice,5,184
Janice,6,32
Janice,7,313
Janice,8,286
Janice,9,171
Janice,10,249
Gunther,1,0
Gunther,2,52
Gunther,3,320
Gunther,4,126
Gunther,5,83
Gunther,6,282
Gunther,7,35
Gunther,8,76
Gunther,9,55
Gunther,10,7
Richard,1,0
Richard,2,1172
Richard,3,362
Richard,4,0
Richard,5,0
Richard,6,616
Richard,7,317
Richard,8,0
Richard,9,0
Richard,10,0
Ben,1,0
Ben,2,5
Ben,3,8
Ben,4,0
Ben,5,9
Ben,6,9
Ben,7,222
Ben,8,31
Ben,9,8
Ben,10,0
Frank,1,0
Frank,2,159
Frank,3,931
Frank,4,190
Frank,5,261
Frank,6,0
Frank,7,0
Frank,8,0
Frank,9,0
Frank,10,0
Mike,1,0
Mike,2,0
Mike,3,25
Mike,4,48
Mike,5,0
Mike,6,0
Mike,7,0
Mike,8,65
Mike,9,2424
Mike,10,1132
Pete,1,0
Pete,2,0
Pete,3,1357
Pete,4,0
Pete,5,0
Pete,6,0
Pete,7,0
Pete,8,0
Pete,9,0
Pete,10,0
Kathy,1,0
Kathy,2,0
Kathy,3,0
Kathy,4,860
Kathy,5,0
Kathy,6,0
Kathy,7,9
Kathy,8,0
Kathy,9,0
Kathy,10,0
Joshua,1,0
Joshua,2,0
Joshua,3,0
Joshua,4,957
Joshua,5,0
Joshua,6,0
Joshua,7,0
Joshua,8,0
Joshua,9,0
Joshua,10,0
Emily,1,0
Emily,2,0
Emily,3,0
Emily,4,1637
Emily,5,355
Emily,6,0
Emily,7,0
Emily,8,0
Emily,9,0
Emily,10,0
Elizabeth,1,0
Elizabeth,2,0
Elizabeth,3,0
Elizabeth,4,0
Elizabeth,5,40
Elizabeth,6,700
Elizabeth,7,0
Elizabeth,8,0
Elizabeth,9,0
Elizabeth,10,0
Gary,1,0
Gary,2,0
Gary,3,0
Gary,4,0
Gary,5,915
Gary,6,0
Gary,7,43
Gary,8,0
Gary,9,0
Gary,10,0
Janine,1,0
Janine,2,0
Janine,3,0
Janine,4,0
Janine,5,0
Janine,6,788
Janine,7,0
Janine,8,35
Janine,9,0
Janine,10,0
Tag,1,0
Tag,2,0
Tag,3,0
Tag,4,0
Tag,5,0
Tag,6,0
Tag,7,1157
Tag,8,110
Tag,9,0
Tag,10,0
Mona,1,0
Mona,2,0
Mona,3,0
Mona,4,0
Mona,5,0
Mona,6,0
Mona,7,0
Mona,8,986
Mona,9,0
Mona,10,0
Amy,1,0
Amy,2,0
Amy,3,0
Amy,4,0
Amy,5,0
Amy,6,0
Amy,7,0
Amy,8,0
Amy,9,720
Amy,10,721
Charlie,1,0
Charlie,2,0
Charlie,3,0
Charlie,4,0
Charlie,5,0
Charlie,6,0
Charlie,7,0
Charlie,8,0
Charlie,9,1428
Charlie,10,504
